year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,version,fusion_ticket,,
2016,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,,FALSE,BRADLEY BYRNE,REPUBLICAN,FALSE,TOTAL,208083,215893,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,,FALSE,WRITEIN,,TRUE,TOTAL,7810,215893,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,,FALSE,MARTHA ROBY,REPUBLICAN,FALSE,TOTAL,134886,276584,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,,FALSE,NATHAN MATHIS,DEMOCRAT,FALSE,TOTAL,112089,276584,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,,FALSE,WRITEIN,,TRUE,TOTAL,29609,276584,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,,FALSE,JESSE SMITH,DEMOCRAT,FALSE,TOTAL,94549,287104,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,,FALSE,MIKE ROGERS,REPUBLICAN,FALSE,TOTAL,192164,287104,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,,FALSE,WRITEIN,,TRUE,TOTAL,391,287104,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,,FALSE,ROBERT B ADERHOLT,REPUBLICAN,FALSE,TOTAL,235925,239444,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,,FALSE,WRITEIN,,TRUE,TOTAL,3519,239444,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,,FALSE,MO BROOKS,REPUBLICAN,FALSE,TOTAL,205647,308326,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,,FALSE,WILL BOYD JR,DEMOCRAT,FALSE,TOTAL,102234,308326,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,,FALSE,WRITEIN,,TRUE,TOTAL,445,308326,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,,FALSE,DAVID J PUTNAM,DEMOCRAT,FALSE,TOTAL,83709,329306,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,,FALSE,GARY J PALMER,REPUBLICAN,FALSE,TOTAL,245313,329306,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,,FALSE,WRITEIN,,TRUE,TOTAL,284,329306,20250910,FALSE,,
2016,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,,FALSE,TERRI A SEWELL,DEMOCRAT,FALSE,TOTAL,229330,233028,20250910,FALSE,,
